SpeechID_PK,PlayID_FK,CharacterID_FK,Character_name,Speech_towards,Speech_Lines
S1000003,P003,C0001,KATH,,This is my lounge.
S1000005,P003,C0001,KATH,,"Oh, yes. (Pause.) You mustn’t imagine it’s always like this. You ought to have rung up or something. And then I’d’ve been prepared."
S1000007,P003,C0001,KATH,,I never showed you the toilet.
S1000009,P003,C0001,KATH,,I should change them curtains. Those are our winter ones. The summer ones are more of a chintz. (Laughs.) The walls need re-doing. The Dadda has trouble with his eyes. I can’t ask him to do any work involving ladders. It stands to reason.
S1000011,P003,C0001,KATH,,I don’t want to rush you. (Pause.) What do you think? I’d be happy to have you.
S1000013,P003,C0001,KATH,,"(pause) I was. I had a boy … killed in very sad circumstances. It broke my heart at the time. I got over it though. You do, don’t you?"
S1000015,P003,C0001,KATH,,Yes.
S1000017,P003,C0001,KATH,,I don’t let myself go like some of them you may have noticed. I’m just over … As a matter of fact I’m forty-one.
S1000019,P003,C0001,KATH,,Will you?
S1000021,P003,C0001,KATH,,Was it bad?
S1000023,P003,C0001,KATH,,As bad as that?
S1000025,P003,C0001,KATH,,I don’t suppose I have. I’ve led a sheltered life.
S1000027,P003,C0001,KATH,,Yes a long time. My husband was a mere boy. (With a half-laugh.) That sounds awful doesn’t it?
S1000029,P003,C0001,KATH,,I married out of school. I surprised everyone by the suddenness of it. (Pause.) Does that sound as if I had to get married?
S1000031,P003,C0001,KATH,,I should’ve known better. You won’t breathe a word?
S1000033,P003,C0001,KATH,,My brother would be upset if he knew I told you. (Pause.) Nobody knows around here. The people in the nursing home imagined I was somebody. I didn’t disillusion them.
S1000035,P003,C0001,KATH,,No.
S1000037,P003,C0001,KATH,,I wouldn’t for a minute. What about –?
S1000039,P003,C0001,KATH,,(pause) We always planned to marry. But there were difficulties. I was very young and he was even younger. I don’t believe we would have been allowed.
S1000041,P003,C0001,KATH,,Adopted.
S1000043,P003,C0001,KATH,,That I could not say. My brother arranged it.
S1000045,P003,C0001,KATH,,He couldn’t do anything.
S1000047,P003,C0001,KATH,,"His family objected. They were very nice but he had a duty you see. (Pause.) As I say, if it’d been left to him I’d be his widow today. (Pause.) I had a last letter. I’ll show you some time. (Silence.) D’you like flock or foam rubber in your pillow?"
S1000049,P003,C0001,KATH,,"You need a bit of luxury, don’t you? I bought the Dadda one but he can’t stand them."
S1000051,P003,C0001,KATH,,You’ll live with us then as one of the family?
S1000053,P003,C0001,KATH,,Didn’t you?
S1000055,P003,C0001,KATH,,You have the air of lost wealth.
S1000057,P003,C0001,KATH,,Did Dr Barnardo give you a bad time?
S1000059,P003,C0001,KATH,,Did you never know your mamma?
S1000061,P003,C0001,KATH,,When did they die?
S1000063,P003,C0001,KATH,,How shocking.
S1000065,P003,C0001,KATH,,"Of course not. (Pause.) With a nice lad like you to take care of you’d think they’d’ve postponed it. (Pause.) Criminals, were they?"
S1000067,P003,C0001,KATH,,Do you? How nice.
S1000069,P003,C0001,KATH,,Marble? (Pause.) Is there an inscription?
S1000071,P003,C0001,KATH,,We’ll see.
S1000073,P003,C0001,KATH,,Yes.
S1000075,P003,C0001,KATH,,Any relations?
S1000077,P003,C0001,KATH,,Poor boy. Alone in the world. Like me.
S1000079,P003,C0001,KATH,,I am. (Pause.) Almost alone. (Pause.) If I’d been allowed to keep my boy I’d not be. (Pause.) You’re almost the same age as he would be. You’ve got the same refinement.
